类名称,方法名称,方法描述,返回值类型
CourseController,list(),分页查询课程列表,ServerResponseEntity<Page<Course>>
CourseController,detail(),查询课程详情,ServerResponseEntity<Course>
CourseController,save(),新增课程,ServerResponseEntity<Void>
CourseController,update(),修改课程信息,ServerResponseEntity<Void>
ScheduleController,list(),分页查询团课排课列表,ServerResponseEntity<Page<CourseSchedule>>
ScheduleController,save(),新增团课排课,ServerResponseEntity<Void>
ScheduleController,batchSave(),批量新增排课,ServerResponseEntity<Integer>
ScheduleController,board(),查询教练排课看板,ServerResponseEntity<List<Map<String,Object>>>
ScheduleController,checkGroup(),执行团课成团判断,ServerResponseEntity<Map<String,Object>>
OrderServiceImpl,createCourseOrder(),创建单个课程订单,Order
OrderServiceImpl,createBatchCourseOrders(),创建批量团课订单,List<Order>
OrderServiceImpl,payOrder(),执行订单支付处理,void
OrderServiceImpl,autoCancelOrder(),自动关闭超时未支付订单,void
OrderServiceImpl,checkGroupSchedule(),检查团课场次是否成团,Map<String,Object>
OrderServiceImpl,applyRefund(),处理课程订单退款申请,void
CheckinController,privateCheckin(),执行私教课程消课,ServerResponseEntity<Void>
CheckinController,groupSettle(),执行团课批量签到结课,ServerResponseEntity<Void>
CheckinController,getAttendees(),查询团课报名学员列表,ServerResponseEntity<List<Map<String,Object>>>
CheckinController,packageList(),查询用户课包列表,ServerResponseEntity<Page<UserCoursePackage>>
OrderEventPublisher,publishOrderCloseDelay(),发送延时关单消息,void
OrderEventPublisher,publishGroupCheckDelay(),发送延时成团检查消息,void
OrderEventPublisher,publishOrderPaid(),发送订单支付完成事件,void
OrderEventListener,handleOrderClose(),消费延时关单消息并执行自动关单,void
OrderEventListener,handleGroupCheck(),消费成团检查消息并执行成团判断,void
TxEventHelper,afterCommit(),在事务提交后执行事件发送,void
